mode,run_name,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
unconstrained,run_1,,,,,,,,,,,,,,,True,False,,,,11,11,2,0,True,11,1.0,1.0
unconstrained,run_2,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,3ad065b84132fff74e871b44c8f6e39f,2026-02-24T18:20:43.226000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_3,7,9,0.7777777777777778,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,2b420e72f58ac934311b6c9c87450c06,2026-02-24T18:21:05.226000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_4,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,df92dcdeb9c06234dcb280618d241ec6,2026-02-24T18:21:49.092000+00:00,,54,17,2,1,False,9,0.6470588235294118,0.7857142857142857
unconstrained,run_5,,,,,,,,,,,,,,,True,False,,,,16,16,2,0,False,10,0.6875,0.8148148148148148
unconstrained,run_6,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,44c5b8bd1c69e7d6dfb86fff86991767,2026-02-24T18:22:25.507000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_7,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,931ea0e2f44c81a1523021e081b39ebb,2026-02-24T18:22:54.385000+00:00,,29,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_8,,,,,,,,,,,,,,,True,False,,,,22,16,2,0,False,10,0.6875,0.8148148148148148
unconstrained,run_9,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,700e1c940d1017f34b63aa89323b52a5,2026-02-24T18:23:34.065000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_10,,,,,,,,,,,,,,,True,False,,,,16,16,2,0,False,10,0.6875,0.8148148148148148
unconstrained,run_11,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,15ffb8225fb314152f7b26d3a0a826bf,2026-02-24T18:24:49.984000+00:00,,89,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_12,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,ef8be68822edbeffc825ce27f6f7b955,2026-02-24T18:25:12.435000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_13,7,9,0.7777777777777778,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,bb469d30f37f40f9e1bb474738ad72f3,2026-02-24T18:25:34.533000+00:00,,17,17,2,1,False,9,0.6470588235294118,0.7857142857142857
unconstrained,run_14,,,,,,,,,,,,,,,True,False,,,,16,16,2,0,False,10,0.6875,0.8148148148148148
unconstrained,run_15,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,c47b19ac9941884db4a50bda741b8706,2026-02-24T18:26:16.449000+00:00,,23,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_16,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,769c1762267f5076c40925d9a4d253fd,2026-02-24T18:26:38.382000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_17,,,,,,,,,,,,,,,True,False,,,,16,16,2,0,False,10,0.6875,0.8148148148148148
unconstrained,run_18,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,9cd4ab1d15b4d12a9b9aeff4f6c7cdac,2026-02-24T18:27:17.898000+00:00,,23,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_19,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,79b34e59713951c39c83a4bff3a1c3c2,2026-02-24T18:27:39.712000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_20,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,ad1a0d67ed08cad1396662ff184d85d8,2026-02-24T18:28:10.661000+00:00,,35,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_21,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,1ed5df5e3e8e804e9ff15d32dc51fe96,2026-02-24T18:28:36.827000+00:00,,25,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_22,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,faf116b33c6018772455122d098330d4,2026-02-24T18:28:59.193000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_23,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,d9e1581e7ee4bda1b17cf26c79d33ead,2026-02-24T18:29:27.160000+00:00,,29,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_24,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,6f633eeb53559c5a93e1524ab1b9e252,2026-02-24T18:29:49.341000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_25,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,3b63f689f419f048a5966381f0cff8c9,2026-02-24T18:30:11.057000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_26,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,f0bd4552ccfc30cfe5e6c8302d250929,2026-02-24T18:30:31.700000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_27,,,,,,,,,,,,,,,True,False,,,,16,16,2,0,False,10,0.6875,0.8148148148148148
unconstrained,run_28,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,db06ba14ca5d9f7d342f6f5674597f5b,2026-02-24T18:31:14.104000+00:00,,25,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_29,,,,,,,,,,,,,,,True,False,,,,24,16,2,0,False,10,0.6875,0.8148148148148148
unconstrained,run_30,,,,,,,,,,,,,,,True,False,,,,16,16,2,0,False,10,0.6875,0.8148148148148148
unconstrained,run_31,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,7f25c1fc235b2ebb33155af33537616d,2026-02-24T18:32:11.036000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_32,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,d24d86c6a00fb5c239dc3d3236c36b94,2026-02-24T18:32:35.687000+00:00,,23,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_33,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,5f8c48234b798aace42bda06f04d9c30,2026-02-24T18:32:56.869000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_34,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,22c6cfd9efa2d9778ef7139da135d007,2026-02-24T18:33:18.457000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
